00:53:33:222 [main] INFO  c.project.main.PracticeApplication - Starting PracticeApplication using Java 21.0.8 with PID 53436 (/home/anshul-goswami/IdeaProjects/Spring_Practice_Project/target/classes started by anshul-goswami in /home/anshul-goswami/IdeaProjects/Spring_Practice_Project)
00:53:35:754 [cluster-ClusterId{value='68c5c4b6fada9272c768f47b', description='Cluster0'}-ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=359919382, minRoundTripTimeNanos=0, setName='atlas-t8vpxy-shard-0', canonicalAddress=ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, hosts=[ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=68c4383f39d572f4e3e18be4, counter=4}, lastWriteDate=Sun Sep 14 00:53:25 IST 2025, lastUpdateTimeNanos=8241845642924}
00:53:35:754 [cluster-ClusterId{value='68c5c4b6fada9272c768f47b', description='Cluster0'}-ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=357059575, minRoundTripTimeNanos=0, setName='atlas-t8vpxy-shard-0', canonicalAddress=ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, hosts=[ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=68c43eaf97db5b00cbd2bd0d, counter=3}, lastWriteDate=Sun Sep 14 00:53:25 IST 2025, lastUpdateTimeNanos=8241845642849}
00:53:35:754 [cluster-ClusterId{value='68c5c4b6fada9272c768f47b', description='Cluster0'}-ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=359985649, minRoundTripTimeNanos=0, setName='atlas-t8vpxy-shard-0', canonicalAddress=ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017, hosts=[ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000000f, setVersion=7, topologyVersion=TopologyVersion{processId=68c43bac9528364e7275c1d6, counter=6}, lastWriteDate=Sun Sep 14 00:53:25 IST 2025, lastUpdateTimeNanos=8241845645544}
00:53:35:758 [cluster-ClusterId{value='68c5c4b6fada9272c768f47b', description='Cluster0'}-ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017 with max election id 7fffffff000000000000000f and max set version 7
00:54:00:357 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
00:54:09:028 [main] INFO  c.project.main.PracticeApplication - Starting PracticeApplication using Java 21.0.8 with PID 53567 (/home/anshul-goswami/IdeaProjects/Spring_Practice_Project/target/classes started by anshul-goswami in /home/anshul-goswami/IdeaProjects/Spring_Practice_Project)
00:54:09:030 [main] INFO  c.project.main.PracticeApplication - No active profile set, falling back to 1 default profile: "default"
00:54:09:467 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
00:54:09:507 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36 ms. Found 2 MongoDB repository interfaces.
00:54:09:821 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
00:54:09:829 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
00:54:09:830 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
00:54:09:831 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
00:54:09:863 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
00:54:09:864 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 796 ms
00:54:10:000 [cluster-ClusterId{value='68c5c4d91fe9c9780b2652e7', description='Cluster0'}-srv-cluster0.7ox7lv9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017 to client view of cluster
00:54:10:014 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "6.14.0-27-generic"}, "platform": "Java/Ubuntu/21.0.8+9-Ubuntu-0ubuntu124.04.1"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='nikhilrastogi_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@19f02280, com.mongodb.Jep395RecordCodecProvider@1e30db85, com.mongodb.KotlinCodecProvider@19827608]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.7ox7lv9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-t8vpxy-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
00:54:10:029 [cluster-ClusterId{value='68c5c4d91fe9c9780b2652e7', description='Cluster0'}-srv-cluster0.7ox7lv9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017 to client view of cluster
00:54:10:033 [cluster-ClusterId{value='68c5c4d91fe9c9780b2652e7', description='Cluster0'}-srv-cluster0.7ox7lv9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017 to client view of cluster
00:54:10:203 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29995 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
00:54:10:590 [cluster-ClusterId{value='68c5c4d91fe9c9780b2652e7', description='Cluster0'}-ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=369498506, minRoundTripTimeNanos=0, setName='atlas-t8vpxy-shard-0', canonicalAddress=ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, hosts=[ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=68c43eaf97db5b00cbd2bd0d, counter=3}, lastWriteDate=Sun Sep 14 00:54:09 IST 2025, lastUpdateTimeNanos=8276681273169}
00:54:10:590 [cluster-ClusterId{value='68c5c4d91fe9c9780b2652e7', description='Cluster0'}-ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=370713622, minRoundTripTimeNanos=0, setName='atlas-t8vpxy-shard-0', canonicalAddress=ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017, hosts=[ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000000f, setVersion=7, topologyVersion=TopologyVersion{processId=68c43bac9528364e7275c1d6, counter=6}, lastWriteDate=Sun Sep 14 00:54:09 IST 2025, lastUpdateTimeNanos=8276681273307}
00:54:10:590 [cluster-ClusterId{value='68c5c4d91fe9c9780b2652e7', description='Cluster0'}-ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=358511514, minRoundTripTimeNanos=0, setName='atlas-t8vpxy-shard-0', canonicalAddress=ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, hosts=[ac-iwkbdgu-shard-00-00.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-01.7ox7lv9.mongodb.net:27017, ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=7, topologyVersion=TopologyVersion{processId=68c4383f39d572f4e3e18be4, counter=4}, lastWriteDate=Sun Sep 14 00:54:09 IST 2025, lastUpdateTimeNanos=8276681273252}
00:54:10:595 [cluster-ClusterId{value='68c5c4d91fe9c9780b2652e7', description='Cluster0'}-ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-iwkbdgu-shard-00-02.7ox7lv9.mongodb.net:27017 with max election id 7fffffff000000000000000f and max set version 7
00:54:23:046 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
00:54:23:279 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
00:54:23:286 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
00:54:23:291 [main] INFO  c.project.main.PracticeApplication - Started PracticeApplication in 14.554 seconds (process running for 15.017)
00:54:40:754 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
00:54:40:758 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
